id|codeserc|tipologia|nome|indirizzo|cap|citta|provincia|stelle|email|url|lt|lg|telefono
7786|050025AAT0017|Agriturismi|I MORICCI|Via di Ripassaia, 10 - - Fabbrica|56037|Peccioli|PI|2|imoricci@tiscali.it|www.imoricci.it|41|13|0587 697446
1046|053010ALB0002|Alberghi - Hotel|DA AUGUSTO|Via Marconi, 101 - - BAGNO DI GAVORRANO|58021|Gavorrano|GR|1|albergo.augusto@tiscali.it|www.albergoaugusto.it|42938|10.88813|0566 844373
8959|048002CAV0006|Case per Vacanze|LA VALLE DEI MEDICI|Via San Gavino, 57/a|0|Barberino di Mugello|FI|0|info@lavalledemedici.it| www.lavalledemedici.it|44219|11151|558423053
6455|050017ALB0001|Alberghi - Hotel|DANY|Via Gioacchino Rossini, 4 - Quattro Strade - Perignano|56035|Lari|PI|3|ristorantelidomasi@gmail.com||37.404254199999996899350662715733051300048828125|13.618517900000000508953235112130641937255859375|0587 616020
244|049020AFR0007|Affittacamere|B & B BELVEDERE DI SUVERETO|PIAZZA SAN TOMMASO, 33-35 - BELVEDERE|57028|Suvereto|LI|0|info@belvederedisuvereto.it|www.belvederedisuvereto.it|39.18412250000000085492501966655254364013671875|16.881544600000001565831553307361900806427001953125|0565 827061
770|049018STB0004|Stabilimenti Balneari|BAGNO NETTUNO|VIA ANDREA COSTA, 3|57027|San Vincenzo|LI|0|bagno.nettuno@libero.it||39.33097120000000046502464101649820804595947265625|16.181266199999999599867805955000221729278564453125|0565 701095
13047|046033STB0089|Stabilimenti Balneari|PRINCIPE AZZURRO|Via della Repubblica, 4 - Citta Giardino - |55049|Viareggio|LU|0|info@bagnoprincipeazzurro.it|www.bagnoprincipeazzurro.it|41.95226029999999894926077104173600673675537109375|12.729530600000000362115315510891377925872802734375|0584 50021
18151|053012AFR0012|Affittacamere|LA ROSADA B&B|Via Dell'Asilo, 42 - - GIGLIO PORTO|58012|Isola del Giglio|GR|0|faber51@hotmail.it|bedandbreakfastlarosada.it|42.3578692|10.921581|0564 809079
1086|053012ALB0011|Alberghi - Hotel|DA RUGGERO|Via del Saraceno, 90 - - GIGLIO PORTO|58013|Isola del Giglio|GR|2|info@daruggero.com|www.isoladelgiglio.biz|42.358505|10.923202|0564 809121
1085|053012ALB0010|Alberghi - Hotel|BAHAMAS|Via Cardinale Oreglia, 22 - - GIGLIO PORTO|58013|Isola del Giglio|GR|2|info@bahamashotel.it|www.hotelbahamas.net|42.3587662|10.9206311|0564 809254
1084|053012ALB0009|Alberghi - Hotel|SARACENO|Via del Saraceno, 69 - - GIGLIO PORTO|58012|Isola del Giglio|GR|3|h.saraceno@tiscali.it|www.saracenohotel.it|42.359111|10.922894|0564 809006
1082|053012ALB0007|Alberghi - Hotel|CASTELLO MONTICELLO|S.P. 74 - MONTICELLO - GIGLIO PORTO|58012|Isola del Giglio|GR|3|info@hotelcastellomonticello.com|www.hotelcastellomonticello.com|42.3591507|10.9170888|0564 809252
1083|053012ALB0008|Alberghi - Hotel|DEMO'S HOTEL|Via Thaon De Revel, 45 - - GIGLIO PORTO|58012|Isola del Giglio|GR|3|info@hoteldemos.com|www.hoteldemos.com|42.3600875|10.9195803|0564 809235
1087|053012ALB0012|Alberghi - Hotel|LA PERGOLA|Via Thaon De Revel, 30 - - GIGLIO PORTO|58012|Isola del Giglio|GR|2|||42.360522|10.919139|0564 809051
1077|053012ALB0001|Alberghi - Hotel|CAMPESE|Via della Costa, 1 - CAMPESE|58012|Isola del Giglio|GR|3|welcome@hotelcampese.com|www.hotelcampese.com|42.3633576|10.876466|0564 804003
2852|053012CAV0003|Case per Vacanze|VILLA DELFI|Via Cotton dei Nobil, 15 - - CAMPESE|58012|Isola del Giglio|GR|0|info@villadelfi.com|www.villadelfi.com|42.3633576|10.876466|320 9011218
